NSE:CUMMINSIND-EQ
NSE:KPITTECH-EQ
NSE:COFORGE-EQ
NSE:COLPAL-EQ
NSE:CYIENT-EQ
NSE:LICHSGFIN-EQ
NSE:CONCOR-EQ
NSE:LICI-EQ
NSE:DABUR-EQ
NSE:CROMPTON-EQ
NSE:DALBHARAT-EQ
NSE:DEEPAKNTR-EQ
NSE:LTIM-EQ
NSE:DELHIVERY-EQ
NSE:LTTS-EQ
NSE:DIVISLAB-EQ
NSE:DIXON-EQ
NSE:DLF-EQ
NSE:DMART-EQ
NSE:DRREDDY-EQ
NSE:EICHERMOT-EQ
NSE:MPHASIS-EQ
NSE:MRF-EQ
NSE:ESCORTS-EQ
NSE:EXIDEIND-EQ
NSE:FEDERALBNK-EQ
NSE:GAIL-EQ
NSE:GLENMARK-EQ
NSE:NBCC-EQ
NSE:GMRAIRPORT-EQ
NSE:GODREJCP-EQ
NSE:GODREJPROP-EQ
NSE:GRANULES-EQ
NSE:NYKAA-EQ
NSE:GRASIM-EQ
NSE:HAL-EQ
NSE:HAVELLS-EQ
NSE:OBEROIRLTY-EQ
NSE:OFSS-EQ
NSE:OIL-EQ
NSE:HCLTECH-EQ
NSE:HDFCAMC-EQ
NSE:PATANJALI-EQ
NSE:HDFCBANK-EQ
NSE:HDFCLIFE-EQ
NSE:HEROMOTOCO-EQ
NSE:HFCL-EQ
NSE:PERSISTENT-EQ
NSE:HINDALCO-EQ
NSE:HINDCOPPER-EQ
NSE:HINDPETRO-EQ
NSE:HINDUNILVR-EQ
NSE:HUDCO-EQ
NSE:ICICIBANK-EQ
NSE:PIIND-EQ
NSE:ICICIGI-EQ
NSE:ICICIPRULI-EQ
NSE:IDEA-EQ
NSE:IDFCFIRSTB-EQ
NSE:IEX-EQ
NSE:POLYCAB-EQ
NSE:IGL-EQ
NSE:INDHOTEL-EQ
NSE:PRESTIGE-EQ
NSE:INDIANB-EQ
NSE:INDIGO-EQ
NSE:INDUSINDBK-EQ
NSE:INDUSTOWER-EQ
NSE:INFY-EQ
NSE:IOC-EQ
NSE:SBIN-EQ
NSE:IRB-EQ
NSE:IRCTC-EQ
NSE:IRFC-EQ
NSE:SHRIRAMFIN-EQ
