call_oi,strike,source,ltp,put_oi,call_put_oi_ratio,index_name,ltp_strike_ratio
558900,3200,put,3208.25,708300,1.267,LT,0.997
800,5200,put,5453.3,14900,18.625,TATAELXSI,0.954
2565650,165,put,136.39,2686124,1.047,LTF,1.21
537900,600,put,623.65,2406250,4.473,TATAMOTORS,0.962
212925,1900,put,1954.35,416925,1.958,LUPIN,0.972
113050,2500,put,2619.05,605675,5.358,M&M,0.955
526000,270,put,269.15,898000,1.707,M&MFIN,1.003
3489000,200,put,200.79,2226000,0.638,MANAPPURAM,0.996
0,520,put,594.6,543600,543600.0,MARICO,0.875
700,600,put,658.1,83300,119.0,TATATECH,0.912
9400,11000,put,11895.1,103450,11.005,MARUTI,0.925
66150,1000,put,964.5,189000,2.857,MAXHEALTH,1.037
153900,5500,put,4743,70300,0.457,MCX,1.16
58400,1000,put,985,151200,2.589,MFSL,1.015
14000,1200,put,1245.05,162000,11.571,MGL,0.964
427350,3500,put,3504.9,584325,1.367,TCS,0.999
2488550,120,put,118.19,2364300,0.95,MOTHERSON,1.015
750,2400,put,2529.3,21750,29.0,TIINDIA,0.949
38750,700,put,678.4,61875,1.597,TITAGARH,1.032
14025,2100,put,2153.8,175450,12.51,MUTHOOTFIN,0.975
3855000,180,put,178.74,2122500,0.551,NATIONALUM,1.007
975,6500,put,6994.85,30900,31.692,NAUKRI,0.929
1775,160,put,177.42,1091625,615.0,NCC,0.902
0,1960,put,2172.8,122600,122600.0,NESTLEIND,0.902
1504000,75,put,72.9,1049600,0.698,NHPC,1.029
9895500,76,put,62.85,12150000,1.228,NMDC,1.209
2704500,380,put,311.3,2656500,0.982,NTPC,1.221
12800,4500,put,5005.15,199000,15.547,TRENT,0.899
598675,220,put,224.9,1663200,2.778,ONGC,0.978
23900,10000,put,10418.4,77200,3.23,ULTRACEMCO,0.96
1905,40000,put,40754.15,4020,2.11,PAGEIND,0.981
11700,600,put,731.45,450450,38.5,PAYTM,0.82
374250,1120,put,876.65,405000,1.082,PEL,1.278
865500,280,put,282.05,3822000,4.416,PETRONET,0.993
